,full link,search term
1,https://www.booking.com/city/ru/moscow.html,hotel in moscow
2,https://www.agoda.com/city/moscow-ru.html,hotel in moscow
3,https://www.trivago.com/moscow-86737/hotel,hotel in moscow
4,https://www.hotels.com/de1153093/hotels-moscow-russia/,hotel in moscow
5,https://www.telegraph.co.uk/travel/destinations/europe/russia/moscow/hotels/,hotel in moscow
6,https://www.accorhotels.com/nl/hotel-6227-ibis-moscow-dynamo/index.shtml,hotel in moscow
7,https://www.accorhotels.com/nl/hotel-7454-mercure-arbat-moscow/index.shtml,hotel in moscow
8,http://www.moscow-hotels.net/,hotel in moscow
9,https://en.wikipedia.org/wiki/Four_Seasons_Hotel_Moscow,hotel in moscow
10,https://www.tripadvisor.com/Hotels-g298484-Moscow_Central_Russia-Hotels.html,hotel in moscow
11,www.moscow-hotels.net/,hotel in moscow
