,full link,search term
0,https://immo.vlan.be/en/search/house/for-sale/any/3000/leuven,house in leuven
1,https://www.immoweb.be/en/search/house/for-sale/leuven/3000,house in leuven
2,https://www.immoweb.be/en/search/house/for-rent/leuven/3000,house in leuven
3,https://www.logic-immo.be/en/real-estate-belgium/real-estate-leuven-whole-city,house in leuven
4,https://www.booking.com/hotel/be/trumpet-house.nl.html,house in leuven
6,https://www.yourhousevastgoed.be/,house in leuven
7,https://escapehouse-emerantia.be/,house in leuven
8,http://www.indiahouseleuven.be/,house in leuven
9,https://datanews.knack.be/ict/nieuws/health-house-leuven-medische-toekomstvisie-of-showroom-zonder-verhaal/article-reportage-978063.html,house in leuven
10,https://www.internationalhouseleuven.be/,house in leuven
11,http://www.leuvenmindgate.be/about-leuven-mindgate/projects/international-house-leuven,house in leuven
12,https://www.kuleuven.be/studentenvoorzieningen/kot-leuven/huurprijs-op-maat-1/residenties-met-huurprijs-op-maat/juniorhoude,house in leuven
13,https://www.kuleuven.be/english/studentservices/housing-leuven/housing-options/house,house in leuven
14,https://www.century21global.com/for-sale-residential/Belgium/Leuven,house in leuven
15,https://pers.leuven.be/smart-drinking-traject-in-health-house,house in leuven
16,https://www.health-house.be/,house in leuven
17,https://www.boardhouse.be/,house in leuven
18,www.indiahouseleuven.be/,house in leuven
