,full link,search term
0,https://rentinsingapore.com.sg/properties-for-rent/studio,studio in singapore
1,https://rentinsingapore.com.sg/condo-for-rent/studio,studio in singapore
2,https://property.trovit.com.sg/for-rent-studio,studio in singapore
3,https://www.propertyguru.com.sg/search/studio-apartment/,studio in singapore
4,https://www.gumtree.sg/s-property-for-rent/studio,studio in singapore
5,https://www.gumtree.sg/s-room-for-rent-flat-share/studio,studio in singapore
6,https://apcredit.sg/finding-studio-apartments-in-singapore/,studio in singapore
7,https://www.hotels.com/ho774721536/clubhouse-residences-cedar-studio-singapore-singapore/,studio in singapore
8,https://www.iproperty.com.sg/rent/private-apartment/,studio in singapore
10,https://www.gumtree.sg/s-property-for-rent/studio%2Bapartment/v1c12q0p1,studio in singapore
11,https://www.gumtree.sg/s-room-for-rent-flat-share/studio%2Broom%2Bfor%2Brent/v1c10q0p1,studio in singapore
12,https://www.airbnb.com/rooms/2129215,studio in singapore
